,year,eps_value,ticker
1,2020,$5.46,NTRS
2,2019,$6.63,NTRS
3,2018,$6.64,NTRS
4,2017,$4.92,NTRS
5,2016,$4.32,NTRS
6,2015,$3.99,NTRS
7,2014,$3.32,NTRS
8,2013,$2.99,NTRS
9,2012,$2.81,NTRS
10,2011,$2.47,NTRS
11,2010,$2.74,NTRS
12,2009,$3.16,NTRS
0,2021,$43.54,NOC
1,2020,$19.03,NOC
2,2019,$13.22,NOC
3,2018,$18.49,NOC
4,2017,$16.34,NOC
5,2016,$11.32,NOC
6,2015,$10.39,NOC
7,2014,$9.75,NOC
8,2013,$8.35,NOC
9,2012,$7.81,NOC
10,2011,$7.52,NOC
11,2010,$6.82,NOC
12,2009,$5.21,NOC
0,2021,$-12.33,NCLH
1,2020,$-15.75,NCLH
2,2019,$4.30,NCLH
3,2018,$4.25,NCLH
4,2017,$3.31,NCLH
5,2016,$2.78,NCLH
6,2015,$1.86,NCLH
7,2014,$1.62,NCLH
8,2013,$0.49,NCLH
9,2012,$0.94,NCLH
10,2011,$0.71,NCLH
11,2010,$0.13,NCLH
0,2021,$8.93,NRG
1,2020,$2.07,NRG
2,2019,$16.81,NRG
3,2018,$0.87,NRG
4,2017,$-6.79,NRG
5,2016,$-2.22,NRG
6,2015,$-19.46,NRG
7,2014,$0.23,NRG
8,2013,$-1.22,NRG
9,2012,$1.22,NRG
10,2011,$0.78,NRG
11,2010,$1.84,NRG
12,2009,$3.44,NRG
0,2021,$23.16,NUE
1,2020,$2.36,NUE
2,2019,$4.14,NUE
3,2018,$7.42,NUE
4,2017,$4.10,NUE
5,2016,$2.48,NUE
6,2015,$0.25,NUE
7,2014,$2.11,NUE
8,2013,$1.52,NUE
9,2012,$1.58,NUE
10,2011,$2.45,NUE
11,2010,$0.42,NUE
12,2009,$-0.94,NUE
0,2022,$3.85,NVDA
1,2021,$1.73,NVDA
2,2020,$1.13,NVDA
3,2019,$1.66,NVDA
4,2018,$1.21,NVDA
5,2017,$0.64,NVDA
6,2016,$0.27,NVDA
7,2015,$0.28,NVDA
8,2014,$0.19,NVDA
9,2013,$0.23,NVDA
10,2012,$0.24,NVDA
11,2011,$0.11,NVDA
12,2010,$-0.03,NVDA
13,2009,$-0.01,NVDA
0,2021,$320.48,NVR
1,2020,$230.11,NVR
2,2019,$221.13,NVR
3,2018,$194.80,NVR
4,2017,$126.77,NVR
5,2016,$103.61,NVR
6,2015,$89.99,NVR
7,2014,$63.50,NVR
8,2013,$54.81,NVR
9,2012,$35.12,NVR
10,2011,$23.01,NVR
11,2010,$33.42,NVR
12,2009,$31.26,NVR
0,2021,$6.79,NXPI
1,2020,$0.18,NXPI
2,2019,$0.85,NXPI
3,2018,$6.72,NXPI
4,2017,$6.41,NXPI
5,2016,$0.58,NXPI
6,2015,$6.10,NXPI
7,2014,$2.17,NXPI
8,2013,$1.36,NXPI
9,2012,$-0.46,NXPI
10,2011,$1.57,NXPI
11,2010,$-1.99,NXPI
12,2009,$-0.78,NXPI
0,2021,$31.10,ORLY
1,2020,$23.53,ORLY
2,2019,$17.88,ORLY
3,2018,$16.10,ORLY
4,2017,$12.67,ORLY
5,2016,$10.73,ORLY
6,2015,$9.17,ORLY
7,2014,$7.34,ORLY
8,2013,$6.03,ORLY
9,2012,$4.75,ORLY
10,2011,$3.71,ORLY
11,2010,$2.95,ORLY
12,2009,$2.23,ORLY
0,2021,$1.58,OXY
1,2020,$-17.06,OXY
2,2019,$-1.22,OXY
3,2018,$5.39,OXY
4,2017,$1.70,OXY
5,2016,$-0.75,OXY
6,2015,$-10.23,OXY
7,2014,$0.79,OXY
8,2013,$7.32,OXY
9,2012,$5.67,OXY
10,2011,$8.32,OXY
11,2010,$5.56,OXY
12,2009,$3.58,OXY
0,2021,$8.89,ODFL
1,2020,$5.68,ODFL
2,2019,$5.10,ODFL
3,2018,$4.92,ODFL
4,2017,$3.75,ODFL
5,2016,$2.37,ODFL
6,2015,$2.38,ODFL
7,2014,$2.07,ODFL
8,2013,$1.59,ODFL
9,2012,$1.31,ODFL
10,2011,$1.09,ODFL
11,2010,$0.60,ODFL
12,2009,$0.28,ODFL
0,2021,$6.53,OMC
1,2020,$4.37,OMC
2,2019,$6.06,OMC
3,2018,$5.83,OMC
4,2017,$4.65,OMC
5,2016,$4.78,OMC
6,2015,$4.41,OMC
7,2014,$4.24,OMC
8,2013,$3.71,OMC
9,2012,$3.61,OMC
10,2011,$3.33,OMC
11,2010,$2.70,OMC
12,2009,$2.53,OMC
0,2021,$2.27,ON
1,2020,$0.56,ON
2,2019,$0.51,ON
3,2018,$1.44,ON
4,2017,$1.89,ON
5,2016,$0.43,ON
6,2015,$0.48,ON
7,2014,$0.43,ON
8,2013,$0.33,ON
9,2012,$-0.21,ON
10,2011,$0.03,ON
11,2010,$0.65,ON
12,2009,$0.14,ON
0,2021,$3.35,OKE
1,2020,$1.42,OKE
2,2019,$3.07,OKE
3,2018,$2.78,OKE
4,2017,$1.29,OKE
5,2016,$1.66,OKE
6,2015,$1.16,OKE
7,2014,$1.49,OKE
8,2013,$1.27,OKE
9,2012,$1.71,OKE
10,2011,$1.68,OKE
11,2010,$1.55,OKE
12,2009,$1.44,OKE
0,2022,$2.41,ORCL
1,2021,$4.55,ORCL
2,2020,$3.08,ORCL
3,2019,$2.97,ORCL
4,2018,$0.85,ORCL
5,2017,$2.24,ORCL
6,2016,$2.07,ORCL
7,2015,$2.21,ORCL
8,2014,$2.38,ORCL
9,2013,$2.26,ORCL
10,2012,$1.96,ORCL
11,2011,$1.67,ORCL
12,2010,$1.21,ORCL
13,2009,$1.09,ORCL
0,2021,$5.31,OGN
1,2020,$8.52,OGN
2,2019,$12.69,OGN
3,2018,$0.00,OGN
0,2021,$2.89,OTIS
1,2020,$2.08,OTIS
2,2019,$2.55,OTIS
3,2018,$2.42,OTIS
0,2021,$5.32,PCAR
1,2020,$3.74,PCAR
2,2019,$6.87,PCAR
3,2018,$6.24,PCAR
4,2017,$4.75,PCAR
5,2016,$1.48,PCAR
6,2015,$4.51,PCAR
7,2014,$3.82,PCAR
8,2013,$3.30,PCAR
9,2012,$3.12,PCAR
10,2011,$2.86,PCAR
11,2010,$1.25,PCAR
12,2009,$0.31,PCAR
0,2021,$8.83,PKG
1,2020,$4.84,PKG
2,2019,$7.34,PKG
3,2018,$7.80,PKG
4,2017,$7.07,PKG
5,2016,$4.75,PKG
6,2015,$4.47,PKG
7,2014,$3.99,PKG
8,2013,$4.52,PKG
9,2012,$1.64,PKG
10,2011,$1.57,PKG
11,2010,$2.00,PKG
12,2009,$2.60,PKG
0,2021,$6.94,PARA
1,2020,$3.92,PARA
2,2019,$5.36,PARA
3,2018,$5.56,PARA
4,2017,$3.59,PARA
5,2016,$2.81,PARA
6,2015,$2.89,PARA
7,2014,$5.27,PARA
8,2013,$3.01,PARA
9,2012,$2.39,PARA
10,2011,$1.92,PARA
11,2010,$1.04,PARA
12,2009,$0.33,PARA
0,2022,$10.09,PH
1,2021,$13.35,PH
2,2020,$9.26,PH
3,2019,$11.57,PH
4,2018,$7.83,PH
5,2017,$7.25,PH
6,2016,$5.89,PH
7,2015,$6.97,PH
8,2014,$6.87,PH
9,2013,$6.26,PH
10,2012,$7.45,PH
11,2011,$6.37,PH
12,2010,$3.40,PH
13,2009,$3.13,PH
0,2022,$3.84,PAYX
1,2021,$3.03,PAYX
2,2020,$3.04,PAYX
3,2019,$2.86,PAYX
4,2018,$2.75,PAYX
5,2017,$2.28,PAYX
6,2016,$2.09,PAYX
7,2015,$1.85,PAYX
8,2014,$1.71,PAYX
9,2013,$1.56,PAYX
10,2012,$1.51,PAYX
11,2011,$1.42,PAYX
12,2010,$1.32,PAYX
13,2009,$1.48,PAYX
0,2021,$3.37,PAYC
1,2020,$2.46,PAYC
2,2019,$3.09,PAYC
3,2018,$2.34,PAYC
4,2017,$2.10,PAYC
5,2016,$1.19,PAYC
6,2015,$0.36,PAYC
7,2014,$0.11,PAYC
8,2013,$0.01,PAYC
9,2012,$-0.01,PAYC
10,2011,$1.49,PAYC
0,2021,$3.52,PYPL
1,2020,$3.54,PYPL
2,2019,$2.07,PYPL
3,2018,$1.71,PYPL
4,2017,$1.47,PYPL
5,2016,$1.15,PYPL
6,2015,$1.00,PYPL
7,2014,$0.34,PYPL
8,2013,$0.78,PYPL
9,2012,$0.00,PYPL
0,2021,$3.30,PNR
1,2020,$2.14,PNR
2,2019,$2.09,PNR
