,Total_value_todate,Return_without_trailing,Return_trailing_12m
2020-02-20,13972.934138853589,139.7293413885359,103.3036808313271
2020-02-21,13906.384097190394,139.06384097190394,103.85393096121445
2020-02-25,13482.185095206558,134.82185095206557,100.10025654742485
2020-02-26,13090.836903489919,130.9083690348992,97.19030531895982
2020-02-27,12762.075341236014,127.62075341236014,93.64454699677692
2020-02-28,12107.359258750846,121.07359258750847,88.87185381618949
2020-03-04,12887.644473697083,128.87644473697083,94.65854271640717
2020-03-05,12979.521376336867,129.79521376336868,94.27096383719235
2020-03-06,12529.037951569018,125.29037951569018,91.1115227678558
2020-03-11,11866.666150842828,118.66666150842829,86.37260627048445
2020-03-12,10571.943781912061,105.71943781912061,76.21167075657
2020-03-13,10950.22943705313,109.50229437053132,78.16148505166952
2020-03-18,9706.577192721026,97.06577192721026,69.46699309009557
2020-03-19,9686.55917468516,96.8655917468516,69.65548417896932
2020-03-20,9432.801593855615,94.32801593855615,69.9649317024237
2020-03-25,8764.793454667642,87.64793454667642,66.95365253791387
2020-03-26,8207.162766059972,82.07162766059972,64.30899792247351
2020-03-27,8342.383994311896,83.42383994311896,68.90341498937734
2020-04-01,8836.398493075003,88.36398493075002,68.56488407256708
2020-04-02,8907.057190279074,89.07057190279075,68.62392635307528
2020-04-03,9313.66481920659,93.13664819206589,74.33663187236363
2020-04-08,10106.272522063879,101.0627252206388,85.16522158454826
2020-04-09,10407.627389418229,104.07627389418228,98.4457314957069
2020-04-15,10633.163478147153,106.33163478147154,97.10448113686917
2020-04-16,10781.839256663385,107.81839256663386,111.07766458344037
2020-04-17,11393.166182475032,113.93166182475032,117.61829951186296
2020-04-22,11339.921799988711,113.39921799988713,120.21796162208443
2020-04-23,11443.22985820373,114.43229858203729,130.55903618709576
2020-04-24,11480.653485752153,114.80653485752153,139.88577798443848
2020-04-29,11607.1940391902,116.071940391902,139.13521658921906
2020-04-30,11592.303357492092,115.92303357492091,131.1881007468921
2020-05-01,11386.320663542036,113.86320663542035,127.83482153868691
2020-05-06,11743.237402363182,117.43237402363182,126.08610713740032
2020-05-07,11791.170721590865,117.91170721590865,116.6718065028282
2020-05-08,11845.374235883653,118.45374235883655,113.81435741951358
2020-05-13,11880.611423004279,118.8061142300428,111.73167277471873
2020-05-14,11568.65619242077,115.6865619242077,107.29761330165555
2020-05-15,11648.474563440393,116.48474563440394,102.24089052047778
2020-05-20,12030.462406719158,120.30462406719158,106.08946533238999
2020-05-21,12021.28354076012,120.21283540760119,105.05149061689065
2020-05-22,11923.01562079096,119.2301562079096,103.85310936862429
2020-05-28,11950.435866979598,119.50435866979599,102.95714732286274
2020-05-29,12080.771883747495,120.80771883747494,104.21373139739055
2020-06-03,12382.49537349784,123.82495373497842,108.74887278684736
2020-06-04,12274.69688842909,122.74696888429091,104.52566415764497
